coin_symbol,cluster_id,cluster_label
AAVE,1,Core Market
AB,1,Core Market
ADA,1,Core Market
ADS,3,Speculative Rockets
AERGO,1,Core Market
AION,0,High-Risk Independents
ALGO,1,Core Market
AMB,0,High-Risk Independents
APPC,0,High-Risk Independents
ATOM,1,Core Market
AVAX,1,Core Market
BAT,1,Core Market
BEAM,1,Core Market
BIX,0,High-Risk Independents
BNB,1,Core Market
BNT,2,Anomalous Outliers
BTC,1,Core Market
CMT,0,High-Risk Independents
COTI,1,Core Market
CRO,1,Core Market
CVC,1,Core Market
DAI,3,Speculative Rockets
DASH,3,Speculative Rockets
DBC,0,High-Risk Independents
DCR,3,Speculative Rockets
DENT,0,High-Risk Independents
DGB,1,Core Market
DOT,1,Core Market
DRGN,0,High-Risk Independents
ELF,1,Core Market
ENJ,1,Core Market
ERG,1,Core Market
ETC,1,Core Market
ETH,1,Core Market
ETN,3,Speculative Rockets
EVX,0,High-Risk Independents
FET,1,Core Market
FIRO,1,Core Market
FUN,3,Speculative Rockets
GNO,1,Core Market
GT,1,Core Market
HBAR,1,Core Market
HT,1,Core Market
ICP,1,Core Market
IOST,1,Core Market
KCS,1,Core Market
KDA,3,Speculative Rockets
KEY,0,High-Risk Independents
LEO,1,Core Market
LINK,1,Core Market
LPT,1,Core Market
LRC,1,Core Market
LTC,1,Core Market
MANA,1,Core Market
MED,0,High-Risk Independents
NEAR,1,Core Market
NEO,1,Core Market
NMR,0,High-Risk Independents
OKB,1,Core Market
ONGAS,1,Core Market
OST,3,Speculative Rockets
POWR,1,Core Market
QNT,1,Core Market
QRL,3,Speculative Rockets
REQ,1,Core Market
RNDR,1,Core Market
RVN,1,Core Market
SALT,0,High-Risk Independents
SC,1,Core Market
SHIB,1,Core Market
SNT,1,Core Market
SNX,1,Core Market
SOL,1,Core Market
STEEM,1,Core Market
STRAX,1,Core Market
TEL,1,Core Market
THETA,1,Core Market
TRAC,1,Core Market
TRB,1,Core Market
TRX,1,Core Market
UNI,1,Core Market
USD,0,High-Risk Independents
VET,3,Speculative Rockets
VIBE,1,Core Market
VOLUME,3,Speculative Rockets
VSYS,1,Core Market
WAVES,1,Core Market
WAXP,1,Core Market
WTC,3,Speculative Rockets
XLM,1,Core Market
XMR,1,Core Market
XRP,1,Core Market
ZEC,0,High-Risk Independents
ZIL,4,Market Followers
ZRX,1,Core Market
