coin_symbol,max_drawdown,avg_drawdown_depth,avg_drawdown_duration,recovery_speed_ratio
AAVE,-0.921260969095765,-0.677045194024949,119.0625,154.16666666666666
AB,-0.9924061866125761,-0.7968679344813904,385.8333333333333,181.66666666666666
ADA,-0.9794778761061946,-0.7628197164936938,166.55555555555554,38.6
ADS,-0.9898927230466654,-0.6491189124590022,66.125,11.285714285714286
AERGO,-0.9647674905739422,-0.7132743533721497,256.4,94.0
AION,-0.9999131513647642,-0.9399371116392308,628.25,6.0
ALGO,-0.9719050632911392,-0.8601055685213579,2418.0,2419.0
AMB,-0.9999746148949713,-0.9421318155853571,769.25,21.0
APPC,-0.9998627237627238,-0.9771304588062449,2955.0,2957.0
ATOM,-0.9581374321880651,-0.6261270255534067,136.05555555555554,39.75
AVAX,-0.935033636430842,-0.6862907122597677,128.06666666666666,13.0
BAT,-0.9389926428975665,-0.7186976377912764,286.72727272727275,178.0
BEAM,-0.9991091370558376,-0.8521633084259832,279.8888888888889,6.0
BIX,-0.9995423529411765,-0.9423922765133608,1405.0,2814.0
BNB,-0.8007036059806508,-0.38470869185734596,73.09756097560975,100.4
BNT,-0.9982934021378547,-0.9784223155708544,1754.0,201.0
BTC,-0.9307432432432432,-0.4474692233027448,54.7979797979798,104.36842105263158
CMT,-0.9985875706214689,-0.9227365592680251,197.8125,5.75
COTI,-0.9820904739848696,-0.7412600924711238,186.53846153846155,75.0
CRO,-0.9448493027440397,-0.6603578780661179,112.0909090909091,33.0
CVC,-0.9898857142857144,-0.876175179038765,1053.0,399.0
DAI,-0.7657817109144542,-0.7417795253992543,979.6666666666666,1.0
DASH,-0.9872761676846661,-0.7967485565424536,123.08571428571429,24.857142857142858
DBC,-0.9995903893695921,-0.9848146057698564,2959.0,2964.0
DCR,-0.9612757653372362,-0.7001291911226827,92.58974358974359,42.2
DENT,-0.9990829175071664,-0.9730489863234676,1480.5,2963.0
DGB,-0.9773040293040294,-0.7742200309161721,199.3,49.8
DOT,-0.9723056946763123,-0.7270558610893247,108.66666666666667,26.0
DRGN,-0.9989926313748304,-0.9641554452780715,426.0,2.5
ELF,-0.9823560209424084,-0.8706108994286048,1479.5,2963.0
ENJ,-0.995474176313446,-0.7722322020103262,135.77272727272728,66.54545454545455
ERG,-0.9923338048090523,-0.8596503050210837,193.54545454545453,46.5
ETC,-0.9287596376974325,-0.7198446215491774,172.05,84.9090909090909
ETH,-0.9392644149542968,-0.5058670893895881,86.46511627906976,146.72727272727272
ETN,-0.9980538737814264,-0.9462675479021392,755.5,9.0
EVX,-0.9999461214461214,-0.9470497784384152,1479.0,2961.0
FET,-0.9776017179023508,-0.6795231035312572,193.30769230769232,114.0
FIRO,-0.9839503166098393,-0.8232112216797104,102.94444444444444,3.5
FUN,-0.9999989937363833,-0.9921127412012455,1782.0,16.0
GNO,-0.9785472143067702,-0.716464457188613,226.92857142857142,182.2
GT,-0.7716049382716049,-0.4205940574852911,114.75,54.0
HBAR,-0.9277766778855672,-0.6303251105495978,208.72727272727272,124.71428571428571
HT,-0.9929645635263613,-0.6838135724626995,239.91666666666666,47.5
ICP,-0.9938638812122348,-0.9641993776968882,1729.0,1730.0
IOST,-0.9909257781324821,-0.8841633567727063,1473.0,2.0
KCS,-0.983351167315175,-0.7076788086462706,327.6666666666667,492.0
KDA,-0.9997504159733777,-0.7909983296505908,80.6923076923077,19.285714285714285
KEY,-0.9995962193988224,-0.9833496545936182,1520.0,78.0
LEO,-0.5885786802030457,-0.30325770051331297,88.25925925925925,169.2
LINK,-0.9018546845124282,-0.59387685544364,74.7,76.46153846153847
LPT,-0.969997321189392,-0.7248738099078926,171.06666666666666,33.714285714285715
LRC,-0.9930672079386559,-0.8690643547693157,253.5,88.71428571428571
LTC,-0.9765739385065886,-0.7486864195860221,234.89473684210526,245.85714285714286
MANA,-0.982466281310212,-0.7813896909658169,172.16666666666666,15.5
MED,-0.9930881164106711,-0.9115438677800671,978.0,613.0
NEAR,-0.9511782178217821,-0.6773659129004644,95.1,11.571428571428571
NEO,-0.9858349166138907,-0.8385626837333099,226.33333333333334,39.166666666666664
NMR,-0.9802702702702702,-0.8183577411355188,3157.0,625.0
OKB,-0.9073786099650903,-0.4182700241944401,163.8235294117647,57.3
ONGAS,-0.975822528363047,-0.8025220027342497,536.8,180.0
OST,-0.9999931203605514,-0.9717489819037516,2815.0,2818.0
POWR,-0.980694058856191,-0.8602243889847594,376.5,369.5
QNT,-0.8904515173945226,-0.5906729801618197,96.07692307692308,19.875
QRL,-0.9910871183916605,-0.9150294288237002,450.57142857142856,463.0
REQ,-0.9936712859180763,-0.8742612588587959,302.1,150.5
RNDR,-0.9597388197609954,-0.642642635042352,284.3333333333333,196.33333333333334
RVN,-0.9762409535972755,-0.7402634621206531,257.8181818181818,69.28571428571429
SALT,-0.9997266706803132,-0.9591552411665758,380.875,17.0
SC,-0.9890809473312124,-0.8206728477494358,144.96153846153845,49.30769230769231
SHIB,-0.917265733383781,-0.7545158033023184,277.5,13.5
SNT,-0.9871856106408706,-0.903009353537565,523.3333333333334,15.0
SNX,-0.9896940656100258,-0.7222976530178584,84.45454545454545,45.0
SOL,-0.9627228086455555,-0.503862843578526,63.96875,64.44444444444444
STEEM,-0.9941429104942114,-0.905444870390392,895.75,35.0
STRAX,-0.9993662551440329,-0.8534866483769135,126.07407407407408,10.166666666666666
TEL,-0.9899639361154043,-0.8848641631553074,365.625,121.0
THETA,-0.9871971830985915,-0.6965772917099756,102.60714285714286,24.375
TRAC,-0.9875963668586619,-0.7738804144989563,289.6,144.2
TRB,-0.9476633376534269,-0.691570963332728,104.0,65.54545454545455
TRX,-0.9715075376884422,-0.7240856572227137,509.0,154.5
UNI,-0.9157053509381514,-0.7160920230721708,138.57142857142858,17.25
USD,-0.056627680311890874,-0.02447746548069094,1331.5,0.0
VET,-0.999864694471387,-0.9349106303883465,202.53333333333333,2.2
VIBE,-0.9998822512844465,-0.961131030692252,378.75,12.5
VOLUME,-0.9962449999999999,-0.790318717246109,310.5,228.66666666666666
VSYS,-0.9993300788584303,-0.8997389756272074,178.78571428571428,52.0
WAVES,-0.9914994487320837,-0.7368053369597726,132.96153846153845,92.16666666666667
WAXP,-0.993367958877704,-0.7497410704206393,114.3157894736842,40.833333333333336
WTC,-0.9998889151500827,-0.9317181958228167,278.72727272727275,3.6666666666666665
XLM,-0.9622174502712478,-0.7248173233051552,254.625,121.66666666666667
XMR,-0.9298504905110739,-0.5556539755475537,93.73809523809524,135.33333333333334
XRP,-0.9501798561151079,-0.6644722060879638,306.38461538461536,112.2
ZEC,-0.9990402291289148,-0.9938432293952566,3379.0,3380.0
ZIL,-0.9851681503461919,-0.819174660288228,364.625,184.0
ZRX,-0.959359795134443,-0.7811922795909584,619.0,85.0
